2023-11-19 20:07 after_fed Round:  20 | Epochs: 100 | Domain: a | loss: 0.5084 | Acc: 87.50%
2023-11-19 20:07 after_fed Round:  20 | Epochs: 100 | Domain: c | loss: 0.2900 | Acc: 90.72%
2023-11-19 20:07 after_fed Round:  20 | Epochs: 100 | Domain: s | loss: 0.1779 | Acc: 93.97%
2023-11-19 20:07 test_domain Round:  20 | Epochs: 100 | Domain: p | loss: 0.2852 | Acc: 92.10%
2023-11-19 20:07 before_fed Round:  21 | Epochs: 105 | Domain: a | loss: 0.3150 | Acc: 92.31%
2023-11-19 20:08 before_fed Round:  21 | Epochs: 105 | Domain: c | loss: 0.1629 | Acc: 95.78%
2023-11-19 20:08 before_fed Round:  21 | Epochs: 105 | Domain: s | loss: 0.1407 | Acc: 94.97%
2023-11-19 20:08 after_fed Round:  21 | Epochs: 105 | Domain: a | loss: 0.5239 | Acc: 86.06%
2023-11-19 20:08 after_fed Round:  21 | Epochs: 105 | Domain: c | loss: 0.3452 | Acc: 89.87%
2023-11-19 20:08 after_fed Round:  21 | Epochs: 105 | Domain: s | loss: 0.1517 | Acc: 93.97%
2023-11-19 20:08 test_domain Round:  21 | Epochs: 105 | Domain: p | loss: 0.3147 | Acc: 91.32%
2023-11-19 20:08 before_fed Round:  22 | Epochs: 110 | Domain: a | loss: 0.2802 | Acc: 93.27%
2023-11-19 20:08 before_fed Round:  22 | Epochs: 110 | Domain: c | loss: 0.1894 | Acc: 95.36%
2023-11-19 20:09 before_fed Round:  22 | Epochs: 110 | Domain: s | loss: 0.1915 | Acc: 94.47%
2023-11-19 20:09 after_fed Round:  22 | Epochs: 110 | Domain: a | loss: 0.4584 | Acc: 88.46%
2023-11-19 20:09 after_fed Round:  22 | Epochs: 110 | Domain: c | loss: 0.2953 | Acc: 92.41%
2023-11-19 20:09 after_fed Round:  22 | Epochs: 110 | Domain: s | loss: 0.1861 | Acc: 93.97%
2023-11-19 20:09 Model saved! Best Val Acc: 92.17%
2023-11-19 20:09 test_domain Round:  22 | Epochs: 110 | Domain: p | loss: 0.2917 | Acc: 92.10%
2023-11-19 20:09 before_fed Round:  23 | Epochs: 115 | Domain: a | loss: 0.2263 | Acc: 93.27%
2023-11-19 20:09 before_fed Round:  23 | Epochs: 115 | Domain: c | loss: 0.2322 | Acc: 92.83%
2023-11-19 20:10 before_fed Round:  23 | Epochs: 115 | Domain: s | loss: 0.1918 | Acc: 93.97%
2023-11-19 20:10 after_fed Round:  23 | Epochs: 115 | Domain: a | loss: 0.4998 | Acc: 85.58%
2023-11-19 20:10 after_fed Round:  23 | Epochs: 115 | Domain: c | loss: 0.3740 | Acc: 89.03%
2023-11-19 20:10 after_fed Round:  23 | Epochs: 115 | Domain: s | loss: 0.1667 | Acc: 94.22%
2023-11-19 20:10 test_domain Round:  23 | Epochs: 115 | Domain: p | loss: 0.3187 | Acc: 91.44%
2023-11-19 20:10 before_fed Round:  24 | Epochs: 120 | Domain: a | loss: 0.2559 | Acc: 92.31%
2023-11-19 20:10 before_fed Round:  24 | Epochs: 120 | Domain: c | loss: 0.1831 | Acc: 94.94%
2023-11-19 20:10 before_fed Round:  24 | Epochs: 120 | Domain: s | loss: 0.1876 | Acc: 95.48%
2023-11-19 20:10 after_fed Round:  24 | Epochs: 120 | Domain: a | loss: 0.4808 | Acc: 87.02%
2023-11-19 20:10 after_fed Round:  24 | Epochs: 120 | Domain: c | loss: 0.3350 | Acc: 90.30%
2023-11-19 20:10 after_fed Round:  24 | Epochs: 120 | Domain: s | loss: 0.1704 | Acc: 93.97%
2023-11-19 20:10 test_domain Round:  24 | Epochs: 120 | Domain: p | loss: 0.2805 | Acc: 92.87%
2023-11-19 20:11 before_fed Round:  25 | Epochs: 125 | Domain: a | loss: 0.3072 | Acc: 92.79%
2023-11-19 20:11 before_fed Round:  25 | Epochs: 125 | Domain: c | loss: 0.1860 | Acc: 93.67%
2023-11-19 20:11 before_fed Round:  25 | Epochs: 125 | Domain: s | loss: 0.1789 | Acc: 95.23%
2023-11-19 20:11 after_fed Round:  25 | Epochs: 125 | Domain: a | loss: 0.4784 | Acc: 86.06%
2023-11-19 20:11 after_fed Round:  25 | Epochs: 125 | Domain: c | loss: 0.3785 | Acc: 88.19%
2023-11-19 20:11 after_fed Round:  25 | Epochs: 125 | Domain: s | loss: 0.1594 | Acc: 94.72%
2023-11-19 20:11 test_domain Round:  25 | Epochs: 125 | Domain: p | loss: 0.2618 | Acc: 92.81%
2023-11-19 20:11 before_fed Round:  26 | Epochs: 130 | Domain: a | loss: 0.2780 | Acc: 94.23%
2023-11-19 20:12 before_fed Round:  26 | Epochs: 130 | Domain: c | loss: 0.2047 | Acc: 94.51%
2023-11-19 20:12 before_fed Round:  26 | Epochs: 130 | Domain: s | loss: 0.1665 | Acc: 94.97%
2023-11-19 20:12 after_fed Round:  26 | Epochs: 130 | Domain: a | loss: 0.4456 | Acc: 85.58%
2023-11-19 20:12 after_fed Round:  26 | Epochs: 130 | Domain: c | loss: 0.3626 | Acc: 89.03%
2023-11-19 20:12 after_fed Round:  26 | Epochs: 130 | Domain: s | loss: 0.1641 | Acc: 94.97%
2023-11-19 20:12 test_domain Round:  26 | Epochs: 130 | Domain: p | loss: 0.2583 | Acc: 92.16%
2023-11-19 20:12 before_fed Round:  27 | Epochs: 135 | Domain: a | loss: 0.2946 | Acc: 92.79%
2023-11-19 20:12 before_fed Round:  27 | Epochs: 135 | Domain: c | loss: 0.2211 | Acc: 94.09%
2023-11-19 20:13 before_fed Round:  27 | Epochs: 135 | Domain: s | loss: 0.1789 | Acc: 95.23%
2023-11-19 20:13 after_fed Round:  27 | Epochs: 135 | Domain: a | loss: 0.4880 | Acc: 86.54%
2023-11-19 20:13 after_fed Round:  27 | Epochs: 135 | Domain: c | loss: 0.4074 | Acc: 88.61%
2023-11-19 20:13 after_fed Round:  27 | Epochs: 135 | Domain: s | loss: 0.1787 | Acc: 94.22%
2023-11-19 20:13 test_domain Round:  27 | Epochs: 135 | Domain: p | loss: 0.2838 | Acc: 91.98%
2023-11-19 20:13 before_fed Round:  28 | Epochs: 140 | Domain: a | loss: 0.2571 | Acc: 93.27%
2023-11-19 20:13 before_fed Round:  28 | Epochs: 140 | Domain: c | loss: 0.1865 | Acc: 95.36%
2023-11-19 20:14 before_fed Round:  28 | Epochs: 140 | Domain: s | loss: 0.2159 | Acc: 93.97%
2023-11-19 20:14 after_fed Round:  28 | Epochs: 140 | Domain: a | loss: 0.4427 | Acc: 86.54%
2023-11-19 20:14 after_fed Round:  28 | Epochs: 140 | Domain: c | loss: 0.3339 | Acc: 91.98%
2023-11-19 20:14 after_fed Round:  28 | Epochs: 140 | Domain: s | loss: 0.1962 | Acc: 93.47%
2023-11-19 20:14 test_domain Round:  28 | Epochs: 140 | Domain: p | loss: 0.2578 | Acc: 92.10%
2023-11-19 20:14 before_fed Round:  29 | Epochs: 145 | Domain: a | loss: 0.2259 | Acc: 94.23%
2023-11-19 20:14 before_fed Round:  29 | Epochs: 145 | Domain: c | loss: 0.2180 | Acc: 94.09%
2023-11-19 20:14 before_fed Round:  29 | Epochs: 145 | Domain: s | loss: 0.1878 | Acc: 95.23%
2023-11-19 20:14 after_fed Round:  29 | Epochs: 145 | Domain: a | loss: 0.4778 | Acc: 87.98%
2023-11-19 20:14 after_fed Round:  29 | Epochs: 145 | Domain: c | loss: 0.3228 | Acc: 92.41%
2023-11-19 20:14 after_fed Round:  29 | Epochs: 145 | Domain: s | loss: 0.2006 | Acc: 93.72%
2023-11-19 20:14 test_domain Round:  29 | Epochs: 145 | Domain: p | loss: 0.3017 | Acc: 91.44%
2023-11-19 20:15 before_fed Round:  30 | Epochs: 150 | Domain: a | loss: 0.2689 | Acc: 92.79%
2023-11-19 20:15 before_fed Round:  30 | Epochs: 150 | Domain: c | loss: 0.2254 | Acc: 92.83%
2023-11-19 20:15 before_fed Round:  30 | Epochs: 150 | Domain: s | loss: 0.1902 | Acc: 93.97%
2023-11-19 20:15 after_fed Round:  30 | Epochs: 150 | Domain: a | loss: 0.4774 | Acc: 86.06%
2023-11-19 20:15 after_fed Round:  30 | Epochs: 150 | Domain: c | loss: 0.3531 | Acc: 91.14%
2023-11-19 20:15 after_fed Round:  30 | Epochs: 150 | Domain: s | loss: 0.1775 | Acc: 93.97%
2023-11-19 20:15 test_domain Round:  30 | Epochs: 150 | Domain: p | loss: 0.2449 | Acc: 92.81%
2023-11-19 20:15 before_fed Round:  31 | Epochs: 155 | Domain: a | loss: 0.2513 | Acc: 90.87%
