2023-11-20 23:52 test_domain Round:  19 | Epochs:  95 | Domain: p | loss: 0.2845 | Acc: 92.04%
2023-11-20 23:52 before_fed Round:  20 | Epochs: 100 | Domain: a | loss: 0.2844 | Acc: 90.87%
2023-11-20 23:52 before_fed Round:  20 | Epochs: 100 | Domain: c | loss: 0.1976 | Acc: 95.36%
2023-11-20 23:53 before_fed Round:  20 | Epochs: 100 | Domain: s | loss: 0.1511 | Acc: 95.48%
2023-11-20 23:53 after_fed Round:  20 | Epochs: 100 | Domain: a | loss: 0.3769 | Acc: 87.98%
2023-11-20 23:53 after_fed Round:  20 | Epochs: 100 | Domain: c | loss: 0.3341 | Acc: 92.83%
2023-11-20 23:53 after_fed Round:  20 | Epochs: 100 | Domain: s | loss: 0.1447 | Acc: 94.97%
2023-11-20 23:53 Model saved! Best Val Acc: 92.65%
2023-11-20 23:53 test_domain Round:  20 | Epochs: 100 | Domain: p | loss: 0.2477 | Acc: 92.87%
2023-11-20 23:53 before_fed Round:  21 | Epochs: 105 | Domain: a | loss: 0.2342 | Acc: 91.35%
2023-11-20 23:53 before_fed Round:  21 | Epochs: 105 | Domain: c | loss: 0.2307 | Acc: 95.36%
2023-11-20 23:54 before_fed Round:  21 | Epochs: 105 | Domain: s | loss: 0.1636 | Acc: 93.97%
2023-11-20 23:54 after_fed Round:  21 | Epochs: 105 | Domain: a | loss: 0.3765 | Acc: 87.50%
2023-11-20 23:54 after_fed Round:  21 | Epochs: 105 | Domain: c | loss: 0.3522 | Acc: 93.25%
2023-11-20 23:54 after_fed Round:  21 | Epochs: 105 | Domain: s | loss: 0.1641 | Acc: 93.72%
2023-11-20 23:54 test_domain Round:  21 | Epochs: 105 | Domain: p | loss: 0.2288 | Acc: 93.23%
2023-11-20 23:54 before_fed Round:  22 | Epochs: 110 | Domain: a | loss: 0.2856 | Acc: 91.35%
2023-11-20 23:54 before_fed Round:  22 | Epochs: 110 | Domain: c | loss: 0.2531 | Acc: 94.09%
2023-11-20 23:54 before_fed Round:  22 | Epochs: 110 | Domain: s | loss: 0.1865 | Acc: 94.72%
2023-11-20 23:54 after_fed Round:  22 | Epochs: 110 | Domain: a | loss: 0.3732 | Acc: 88.46%
2023-11-20 23:54 after_fed Round:  22 | Epochs: 110 | Domain: c | loss: 0.3561 | Acc: 92.41%
2023-11-20 23:54 after_fed Round:  22 | Epochs: 110 | Domain: s | loss: 0.1527 | Acc: 93.97%
2023-11-20 23:54 test_domain Round:  22 | Epochs: 110 | Domain: p | loss: 0.2207 | Acc: 93.47%
2023-11-20 23:55 before_fed Round:  23 | Epochs: 115 | Domain: a | loss: 0.3181 | Acc: 91.35%
2023-11-20 23:55 before_fed Round:  23 | Epochs: 115 | Domain: c | loss: 0.2421 | Acc: 94.51%
2023-11-20 23:55 before_fed Round:  23 | Epochs: 115 | Domain: s | loss: 0.1398 | Acc: 95.98%
2023-11-20 23:55 after_fed Round:  23 | Epochs: 115 | Domain: a | loss: 0.4331 | Acc: 87.02%
2023-11-20 23:55 after_fed Round:  23 | Epochs: 115 | Domain: c | loss: 0.3497 | Acc: 92.41%
2023-11-20 23:55 after_fed Round:  23 | Epochs: 115 | Domain: s | loss: 0.1306 | Acc: 94.97%
2023-11-20 23:55 test_domain Round:  23 | Epochs: 115 | Domain: p | loss: 0.2242 | Acc: 93.53%
2023-11-20 23:55 before_fed Round:  24 | Epochs: 120 | Domain: a | loss: 0.3240 | Acc: 91.35%
2023-11-20 23:56 before_fed Round:  24 | Epochs: 120 | Domain: c | loss: 0.2141 | Acc: 96.20%
2023-11-20 23:56 before_fed Round:  24 | Epochs: 120 | Domain: s | loss: 0.1291 | Acc: 95.23%
2023-11-20 23:56 after_fed Round:  24 | Epochs: 120 | Domain: a | loss: 0.4400 | Acc: 85.58%
2023-11-20 23:56 after_fed Round:  24 | Epochs: 120 | Domain: c | loss: 0.3745 | Acc: 89.87%
2023-11-20 23:56 after_fed Round:  24 | Epochs: 120 | Domain: s | loss: 0.1270 | Acc: 95.23%
2023-11-20 23:56 test_domain Round:  24 | Epochs: 120 | Domain: p | loss: 0.2408 | Acc: 92.93%
2023-11-20 23:56 before_fed Round:  25 | Epochs: 125 | Domain: a | loss: 0.2368 | Acc: 92.31%
2023-11-20 23:56 before_fed Round:  25 | Epochs: 125 | Domain: c | loss: 0.2281 | Acc: 94.94%
2023-11-20 23:57 before_fed Round:  25 | Epochs: 125 | Domain: s | loss: 0.1715 | Acc: 94.72%
2023-11-20 23:57 after_fed Round:  25 | Epochs: 125 | Domain: a | loss: 0.4209 | Acc: 85.58%
2023-11-20 23:57 after_fed Round:  25 | Epochs: 125 | Domain: c | loss: 0.3132 | Acc: 93.67%
2023-11-20 23:57 after_fed Round:  25 | Epochs: 125 | Domain: s | loss: 0.1541 | Acc: 93.47%
2023-11-20 23:57 test_domain Round:  25 | Epochs: 125 | Domain: p | loss: 0.2635 | Acc: 92.69%
2023-11-20 23:57 before_fed Round:  26 | Epochs: 130 | Domain: a | loss: 0.2497 | Acc: 92.79%
2023-11-20 23:57 before_fed Round:  26 | Epochs: 130 | Domain: c | loss: 0.2284 | Acc: 94.94%
2023-11-20 23:58 before_fed Round:  26 | Epochs: 130 | Domain: s | loss: 0.1638 | Acc: 94.22%
2023-11-20 23:58 after_fed Round:  26 | Epochs: 130 | Domain: a | loss: 0.3781 | Acc: 87.02%
2023-11-20 23:58 after_fed Round:  26 | Epochs: 130 | Domain: c | loss: 0.4234 | Acc: 89.45%
2023-11-20 23:58 after_fed Round:  26 | Epochs: 130 | Domain: s | loss: 0.1305 | Acc: 94.97%
2023-11-20 23:58 test_domain Round:  26 | Epochs: 130 | Domain: p | loss: 0.2285 | Acc: 93.47%
2023-11-20 23:58 before_fed Round:  27 | Epochs: 135 | Domain: a | loss: 0.2965 | Acc: 90.87%
2023-11-20 23:58 before_fed Round:  27 | Epochs: 135 | Domain: c | loss: 0.2203 | Acc: 95.36%
2023-11-20 23:58 before_fed Round:  27 | Epochs: 135 | Domain: s | loss: 0.2000 | Acc: 93.97%
2023-11-20 23:58 after_fed Round:  27 | Epochs: 135 | Domain: a | loss: 0.4243 | Acc: 85.10%
2023-11-20 23:58 after_fed Round:  27 | Epochs: 135 | Domain: c | loss: 0.3560 | Acc: 91.56%
2023-11-20 23:58 after_fed Round:  27 | Epochs: 135 | Domain: s | loss: 0.1894 | Acc: 93.47%
2023-11-20 23:58 test_domain Round:  27 | Epochs: 135 | Domain: p | loss: 0.2279 | Acc: 93.71%
2023-11-20 23:59 before_fed Round:  28 | Epochs: 140 | Domain: a | loss: 0.3152 | Acc: 90.87%
2023-11-20 23:59 before_fed Round:  28 | Epochs: 140 | Domain: c | loss: 0.1855 | Acc: 95.36%
2023-11-20 23:59 before_fed Round:  28 | Epochs: 140 | Domain: s | loss: 0.1969 | Acc: 93.72%
2023-11-20 23:59 after_fed Round:  28 | Epochs: 140 | Domain: a | loss: 0.3758 | Acc: 87.02%
2023-11-20 23:59 after_fed Round:  28 | Epochs: 140 | Domain: c | loss: 0.3895 | Acc: 90.72%
2023-11-20 23:59 after_fed Round:  28 | Epochs: 140 | Domain: s | loss: 0.1676 | Acc: 93.47%
2023-11-20 23:59 test_domain Round:  28 | Epochs: 140 | Domain: p | loss: 0.2349 | Acc: 93.35%
2023-11-20 23:59 before_fed Round:  29 | Epochs: 145 | Domain: a | loss: 0.2542 | Acc: 92.31%
2023-11-21 00:00 before_fed Round:  29 | Epochs: 145 | Domain: c | loss: 0.2506 | Acc: 94.94%
2023-11-21 00:00 before_fed Round:  29 | Epochs: 145 | Domain: s | loss: 0.1445 | Acc: 94.97%
